RM,VD,NP,VP
15211.647379819726,7382.481399804953,24,307.6033916585397
17894.998776540357,10362.211411820583,37,280.05976788704277
1463.6012838089337,9614.966225698414,55,174.81756773997117
5822.419402941503,8746.387848936,59,148.24386184637288
19089.121588210728,18616.755296326293,66,282.0720499443378
8792.897347425831,5376.3202117645715,31,173.42968425047005
2964.005806930373,15599.056427197454,38,410.5014849262488
10962.237430994132,4248.359712692682,64,66.38062051082315
11922.923474829691,13663.240881351852,40,341.58102203379633
5324.053377220363,2400.6220430295034,49,48.992286592438845
6653.557656301848,19535.979660935805,36,542.6661016926613
12903.491742995539,16102.760694065037,9,1789.195632673893
1932.3006632758647,7429.555252652082,64,116.08680082268879
3574.4944679940377,15432.34222534197,46,335.4857005509124
19159.983815712418,6218.814744361338,3,2072.938248120446
8774.277927412433,2759.718203045626,45,61.32707117879169
13283.181235924714,12755.595061225767,6,2125.9325102042944
6858.977931219802,19455.764637470507,8,2671.8294925538526
2187.9549260229073,16471.425009859217,29,567.980172753766
17540.25813494547,8016.646063400828,20,400.8323031700414
9139.150108566857,15628.150340583827,30,520.9383446861276
19526.19853925774,3373.594090834467,47,71.77859767732909
10807.312259167024,687.9967269698001,16,42.999795435612505
8410.110689507066,5532.378652547701,61,90.6947320089787
1591.1871020141973,17293.005808469254,49,352.91848588712764
3143.657609866372,15986.973774376329,19,843.3722011467131
3521.7585735464722,11252.477424806682,24,468.85322603361175
7384.901830239187,7996.474749902708,35,228.47070714007737
12131.47806131696,6663.140713154397,21,317.29241491211417
7042.504366621826,18655.563553599484,31,601.7923726967575
13322.71781974718,7213.263171607672,42,171.7443612287541
16276.053713353565,17448.192419118408,62,281.42245837287754
8918.5593838042,7252.650289888509,30,241.7550096629503
3624.7943041455005,9214.331462772301,52,177.19868197639042
19825.116411659597,7959.304343872188,3,2653.101447957396
5687.446892989707,11192.220966144925,63,177.65430104991944
6203.0245709032115,14788.655582634445,42,352.110847205582
14827.460676996277,12311.38237866195,27,455.9771251356278
9193.02376513724,13105.039531065599,45,291.22310069034666
17332.04311602965,4530.179614567743,40,113.25449036419357
5032.507831310413,10769.428744424993,32,336.54464826328103
16202.366975249015,2613.8483168749412,21,124.4689674702353
5123.125053168293,2275.1042015120806,49,46.43069799004246
4563.236975944885,13139.968187085844,61,215.4093145423909
2491.1011813497394,6178.796552873794,30,205.95988509579314
13917.645688271336,19061.9724410351,21,907.7129733826239
16311.846741549405,7761.421824650466,54,143.73003378982344
6164.166936658542,19310.791318908974,46,419.79981128062985
8749.3177895068,12508.84308050105,52,240.5546746250202
19324.606958994562,17846.357355236913,62,287.8444734715631
19623.624299452847,10639.59293963725,15,709.3061959758166
18437.0491266542,16547.11374607434,10,1654.7113746074342
18442.58807072782,14120.919622088848,39,362.0748621048423
16814.005287983393,11534.103156864456,8,1441.762894608057
1519.0598723163002,9046.074608667945,41,220.6359660650718
4832.619850087665,10979.88093297271,58,189.30829194780534
18978.144968041142,9925.780507588634,17,583.8694416228608
7527.017350874317,10789.914767514561,49,220.20234219417472
8835.673688371095,6890.7321666282305,5,1378.146433325646
8235.71903600663,7002.7787952037115,45,155.61730656008248
5476.7703352606195,17629.614951299354,25,705.1845980519741
5797.602494898793,3391.777846137446,52,65.22649704110474
17704.58044057424,18747.42082581162,30,624.914027527054
9721.398579417577,16406.40621489144,22,745.7457370405201
12840.88197885378,10592.370191767479,57,185.83105599592068
14813.635234205027,17148.428057482237,65,263.82197011511136
12729.277296802444,2473.4439639696907,13,190.26492030536082
19839.41479505789,9404.637328392726,56,167.93995229272724
5576.298594664208,11379.97186609987,43,264.65050851395046
13916.188815575742,13201.009481551073,2,6600.504740775536
3648.092873891635,18786.94114060846,46,408.41176392627085
10149.842677707184,3838.5758641852262,40,95.96439660463065
14416.936226642934,3708.704791077816,59,62.85940323860705
7623.657509416517,6678.49034218622,10,667.849034218622
19050.97340267888,4372.7289028924815,65,67.27275235219203
2566.0331761929024,3536.4408648388885,49,72.17226254773242
12558.9824644674,15018.31253726606,14,1072.7366098047185
18163.31074524521,8370.079452951475,65,128.7704531223304
15246.940764978723,5895.101430734987,53,111.22832888179221
7252.069397574506,843.3151715367129,25,33.73260686146852
14326.271734592592,391.52288640706445,60,6.525381440117741
7264.460253439212,5068.0998417546625,59,85.89999731787563
8440.138940674304,15509.142559634518,48,323.10713665905246
3053.872462232217,6156.40602984666,18,342.02255721370335
10617.492703841368,7815.524061927177,3,2605.174687309059
4441.144001879595,13081.620024813797,47,278.3323409534851
14874.103105358168,17804.59846709213,54,329.7147864276321
10149.01582124926,7575.315090864422,35,216.43757402469777
7224.332224360887,11247.13748560637,13,865.1644219697208
15451.83367628617,17102.651511205266,6,2850.441918534211
2795.8050542665414,2104.6699880651768,15,140.31133253767845
4187.824736058263,6638.729160992625,13,510.6714739225096
12651.931069590619,6607.209389092142,60,110.12015648486904
1349.9345616479068,5728.887561522977,13,440.68365857869054
6643.697383124645,8703.613623140083,57,152.69497584456286
3404.7221135301083,16086.113069354611,38,423.3187649830161
7740.704186703275,7313.708678113849,18,406.3171487841027
18092.063527861537,12370.512843247006,25,494.82051372988025
16497.709072090554,10984.434846548378,17,646.1432262675517
14490.469381236815,1364.9046785393089,34,40.144255251156146
2457.2818724247536,17107.6587400832,15,1172.4930739503598
9481.18114620759,19795.008784099333,9,2199.4454204554813
16211.11389783782,6142.920327955706,63,97.5066718723128
2097.3550802597197,19173.949175059228,27,733.4626940936283
10399.03762879203,1850.2607357332192,34,54.41943340391821
1539.5922414672048,16162.928432065228,28,593.1516736064522
1893.4369633694012,16915.29494342058,18,939.73860796781
9406.198918874228,4823.455045767464,13,371.03500352057415
4210.635316232681,19563.612308911222,41,477.161275827103
6663.567504945956,15090.898986035194,57,264.7526137900911
16007.637410494186,15763.167188653086,44,358.2537997421156
5283.633828032451,7342.203512273981,65,112.95697711190739
12328.571365201093,11014.345999143114,63,174.8308888752875
8099.692290128585,6555.103515883249,46,142.50225034528802
13293.979796153697,16687.085914187363,64,260.73571740917754
13980.367146013372,15573.715870995688,68,229.02523339699542
6533.312616967161,9315.041562173023,15,621.0027708115348
19237.650453095623,10000.207682778771,13,769.2467448291362
1392.8303182629415,13266.719541665732,22,603.0327064393515
11286.684495715495,852.409223154861,23,37.06127057195048
12799.38771205492,1630.5846502640254,27,60.392024083852796
17970.391422466197,2437.6023757931857,41,59.453716482760626
14694.428067973913,12105.513395447064,59,205.17819314317057
4417.163621102203,4369.487397685526,17,257.0286704520898
2371.7161628835224,10250.479696500244,19,539.4989313947497
8222.143823661798,9126.225615326393,67,136.21232261681183
18663.73723620388,12648.002064184617,54,234.22226044786328
8744.426956803403,5797.8790859692335,4,1449.4697714923084
2278.261010700755,16667.299059512512,49,340.1489603982145
13931.325190706659,10297.585503564447,18,572.0880835313582
3625.609211286866,10641.474910560222,10,1064.1474910560223
3498.133805588707,8793.576243272211,30,293.1192081090737
13187.759783693404,2526.0899513986747,25,101.04359805594699
3446.6812374435276,1879.891916285524,2,939.945958142762
2373.597245148513,13155.983399970175,15,908.0599960815288
12856.78297650772,8714.40951795873,66,132.03650784785953
6716.041952562803,6712.748521959204,38,176.65127689366327
11874.89810592037,11747.847896474519,24,489.493662353105
18504.431578886903,13021.173529940632,6,2170.1955883234386
9015.863633026893,14854.122039784452,28,530.5043585637304
14115.416870455723,3696.5310409272047,22,168.02413822396386
9007.645643032254,17268.260539187468,13,1328.3277337836514
5249.317406650871,15012.998269893866,32,469.1561959341833
9818.850609280826,12666.054464681445,4,3166.5136161703613
19541.158264160556,15113.134939481633,19,795.4281547095596
9155.000796864646,7334.993562504474,65,112.84605480776113
4621.662932092133,13520.322122588213,12,1126.6935102156845
5905.529488709456,13387.663156897856,21,637.5077693760884
5619.441150849108,4417.574183310519,22,200.79882651411452
18794.045631768226,6756.174356026544,3,2252.058118675515
18300.304076487715,4377.144564204902,24,182.3810235085376
5568.308435067452,15411.17645653758,28,550.3991591620564
13221.652195287945,10531.054458222306,45,234.02343240494014
19232.723017649765,4695.024175779466,42,111.78628989951109
7097.687594433622,9756.851454354442,36,271.02365150984565
12838.103839870348,6151.0988014449085,38,161.8710210906555
18283.30110873315,4712.40680964065,68,69.30010014177427
9516.21243767199,18201.9030083892,24,758.41262534955
8341.303571008597,18831.672327288048,44,427.99255289291017
2686.4131474128635,7243.2361320449245,25,289.729445281797
7295.520338634153,6964.428628460259,68,102.41806806559204
8498.646156623734,12657.603461377324,69,183.44352842575833
10847.262130895624,208.73280649512452,12,17.394400541260378
12147.091012662302,6970.697697818368,9,774.5219664242632
3154.428822217971,3464.3263978647255,6,577.3877329774542
16429.19999649824,6932.541031589182,51,135.93217708998395
19865.19511724941,14009.795349579725,49,285.9141908077495
8278.11228315621,5307.654169133612,27,196.57978404198565
14740.975025302243,978.6504644515886,43,22.75931312678113
18729.492587985955,5382.753862285663,43,125.18032237873635
16681.91220093681,7813.885065938054,14,558.1346475670039
8003.424897661767,10861.978068367636,35,310.3422305247896
14938.79857246728,10347.898756952898,40,258.69746892382244
6017.736943567,17236.510869739006,6,3121.423849278321
2902.6426315456984,6716.328646295315,59,113.83607875076804
2506.9959041483094,9665.555026448768,17,568.5620603793393
1338.698204746693,1405.539873203845,50,28.1107974640769
7734.760033856764,14431.422360012368,47,307.05153957473124
7499.645619408484,16812.9190412558,42,400.3075962203761
10571.269069800375,10107.782491166652,65,155.5043460179485
16911.24349662546,4584.2872183015415,20,229.21436091507707
17603.153572109237,9839.200950063383,42,234.26668928722341
5842.354718782087,17114.251736720464,15,1140.9501157813643
16953.87726725064,16812.349927392046,10,1681.2349927392047
4080.223420298422,8168.662905686286,39,209.45289501759706
14013.015062045195,19113.11590418216,7,2730.4451291688797
3315.9167207528144,13801.113198890123,68,202.9575470425018
3948.0728607803794,14308.122072485101,19,753.0590564465842
13939.542268702897,5894.359176924449,25,235.77436707697794
10330.78843622156,406.5864788412925,59,6.89129625154733
9788.140320722636,15085.05823529719,11,1371.3689304815628
3348.9114538876347,6557.2486511307125,22,298.05675686957784
7611.168055646857,5422.30397712612,47,115.36816972608766
18556.827215772202,16718.041355453784,21,796.0972074025611
3469.4235920354927,17049.398010609813,43,396.49762815371656
4364.768355756498,12856.138259286836,26,494.46685612641676
14383.871877145019,18794.77440370133,48,391.55780007711104
17237.05677460323,3160.5502409450405,28,112.87679431946573
5281.2591970104095,16776.58526390299,8,2097.073157987874
16998.024273668132,16123.695952195812,68,237.1131757675855
15419.983582009248,7960.415669151321,63,126.35580427224319
4128.611529005064,11348.100071375044,57,199.0894749364043
2129.725442007784,14347.711745697867,42,341.6121844213778
19961.609106465334,9062.461665007133,8,1132.8077081258916
8501.415663975211,16206.221254370676,37,438.0059798478561
10201.218414405026,2347.979383969175,50,46.9595876793835
11878.988545557298,10167.347936433554,18,564.8526631351974
18031.92765522058,14997.440939946056,30,499.91469799820186
19553.76968488177,3692.295382286447,57,64.77711196993766
17067.999444968125,17109.10200815282,68,251.60444129636497
13700.063240045449,230.50419244919618,66,3.4924877643817602
7308.501967674714,14423.786153014109,36,400.66072647261416
11634.964657541002,7938.15598213991,32,248.06737444187218
9410.559495325446,11168.122605369344,3,3722.7075351231147
4499.489013057124,5421.052470076449,57,95.10618368555174
2021.8175107843072,7851.999121668523,12,706.0622025163012
15947.574054187975,4451.146463544072,4,1112.786615886018
5619.982919335861,18689.19424722969,62,301.4386168908015
8022.264590405731,13852.5852166778,3,4617.5284055592665
8161.23086590591,9454.801393148762,65,145.45848297151943
8923.958669627871,18214.972297632507,25,728.5988919053002
9107.632581399463,12965.311256943422,67,193.51210831258837
3916.672329455232,7451.278233895684,67,111.2131079685923
7011.1423955684795,11993.170911992815,10,1199.3170911992815
1344.8418446976389,10491.076157536301,32,327.8461299230094
16767.12491530987,3021.995905140419,62,48.74186943774869
5425.147949867954,11969.682390924641,66,181.3588241049188
10724.371623563988,19654.891004003006,20,982.7445502001503
1932.7589685798175,2346.5706434039375,61,38.46837120334324
19228.05766455347,11586.581753488697,48,241.38711986434785
1467.1442241659618,2100.655050534472,64,32.82273516460113
17609.621135451354,14384.858890369987,14,1027.4899207407134
8658.036482149193,5785.860862329204,61,94.85017807097056
11815.25981220483,14402.286196218796,41,351.2752730785072
16903.754958968704,1327.5331651226475,45,29.5007370027255
